id_miasta,Liczba_mieszkancow,Liczba_kobiet,Grupa_wiekowa,Data_aktualizacji
1,1724400,933200,ogółem,2013-12-31
1,96000,46500, 0-4 lata,2013-12-31
1,82600,40400,5-9 lata,2013-12-31
1,61700,30300,10-14 lata,2013-12-31
1,61600,30300,15-19 lata,2013-12-31
1,85700,43300,20-24 lata,2013-12-31
1,138500,73000,25-29 lata,2013-12-31
1,166000,87700,30-34 lata,2013-12-31
1,156500,82100,35-39 lata,2013-12-31
1,114400,58800,40-44 lata,2013-12-31
1,88700,45900,45-49 lata,2013-12-31
1,98200,52600,50-54 lata,2013-12-31
1,133100,73500,55-59 lata,2013-12-31
1,125900,71100,60-64 lata,2013-12-31
1,91600,53800,65-69 lata,2013-12-31
1,64100,39300,70-74 lata,2013-12-31
1,64700,41600,75-79 lata,2013-12-31
1,95000,63000,80 lat i więcej,2013-12-31
2,711300,387600,ogółem,2013-12-31
2,17800,8700,0-2 lata,2013-12-31
2,25200,12300,3-6 lat,2013-12-31
2,31300,15100,7-12 lat,2013-12-31
2,15100,7400,13-15 lat,2013-12-31
2,17300,8400,16-18 lat,2013-12-31
2,44700,22300,19-24 lat,2013-12-31
2,111300,56100,25-34 lat,2013-12-31
2,101200,51300,35-44 lat,2013-12-31
2,85800,46100,45-54 lat,2013-12-31
2,124300,70600,55-64 lat,2013-12-31
2,137500,89500,65 lat i więcej,2013-12-31
3,758334000,405051000,ogółem,2012-12-31
3,23201000,11053000,0-2 lata,2012-12-31
3,29265000,14303000,3-6 lat,2012-12-31
3,34750000,16765000,7-12 lat,2012-12-31
3,17202000,8511000,13-15 lata,2012-12-31
3,19550000,9645000,16-18 lata,2012-12-31
3,61436000,31234000,19-24 lata,2012-12-31
3,70129000,36425000,25-29 lata,2012-12-31
3,69171000,35472000,30-34 lata,2012-12-31
3,61272000,31337000,35-39 lata,2012-12-31
3,47436000,24275000,40-44 lata,2012-12-31
3,42322000,21892000,45-49 lata,2012-12-31
3,47864000,25698000,50-54 lata,2012-12-31
3,56943000,31440000,55-59 lata,2012-12-31
3,51666000,29210000,60-64 lata,2012-12-31
3,38476000,22034000,65-69 lata,2012-12-31
3,27876000,16573000,70-74 lata,2012-12-31
3,25983000,16228000,78-79 lata,2012-12-31
3,20101000,13173000,80 -84 lata,2012-12-31
3,9976000,6988000,85-89 lata,2012-12-31
3,3060000,2266000,90-94 lata,2012-12-31
3,522000,418000,95-99 lata,2012-12-31
3,133000,111000,100 lat i więcej ,2012-12-31
4,631235000,336666000,ogółem,2011-12-31
4,19794000,9634000,0-2 lata,2011-12-31
4,22832000,11258000,3-6 lat,2011-12-31
4,35024000,17092000,7-14 lat,2011-12-31
4,14990000,7316000,15-17 lat,2011-12-31
4,11224000,5519000,18-19 lat,2011-12-31
4,46029000,23601000,20-24 lat,2011-12-31
4,60924000,31135000,25-29 lat,2011-12-31
4,58367000,29540000,30-34 lat,2011-12-31
4,48765000,24625000,35-39 lat,2011-12-31
4,35308000,17684000,40-44 lat,2011-12-31
4,33902000,17550000,45-49 lat,2011-12-31
4,43660000,23247000,50-54 lat,2011-12-31
4,52356000,28628000,55-59 lat,2011-12-31
4,46968000,26170000,60-64 lat,2011-12-31
4,25574000,14735000,65-69 lat,2011-12-31
4,23792000,14574000,70-74 lat,2011-12-31
4,22486000,14303000,75-79 lat,2011-12-31
4,17380000,11563000,80-84 lat,2011-12-31
5,11860000,8492000,85 lat i więcej,2011-12-31
5,550742000,256499000,ogółem,2012-12-31
5,17451000,8977000,0-2 lata,2012-12-31
5,21530000,11088000,3-6 lat,2012-12-31
5,24743000,12727000,7-12 lat,2012-12-31
5,12119000,6155000,13-15 lat,2012-12-31
5,13500000,6849000,16-18 lat,2012-12-31
5,42888000,21048000,19-24 lat,2012-12-31
5,103599000,50680000,25-34 lat,2012-12-31
5,76899000,37877000,35-44 lat,2012-12-31
5,63288000,30054000,45-54 lat,2012-12-31
5,84589000,37271000,55-64 lat,2012-12-31
5,90136000,33773000,65 lat i więcej,2012-12-31
6,456658000,216374000,ogółem,2007-12-31
6,12540000,6481000,0-2 lata,2007-12-31
6,14849000,7603000,3-6 lat,2007-12-31
6,33025000,16808000,7-14 lat,2007-12-31
6,15505000,8014000,15-17 lat,2007-12-31
6,11548000,5818000,18-19 lat,2007-12-31
6,37690000,18680000,20-24 lat,2007-12-31
6,40731000,19917000,25-29 lat,2007-12-31
6,38529000,19406000,30-34 lat,2007-12-31
6,29458000,14892000,35-39 lat,2007-12-31
6,26148000,13091000,40-44 lat,2007-12-31
6,31662000,15129000,45-49 lat,2007-12-31
6,38491000,17656000,50-54 lat,2007-12-31
6,36753000,16976000,55-59 lat,2007-12-31
6,21584000,9685000,60-64 lat,2007-12-31
6,20151000,8722000,65-69 lat,2007-12-31
6,18431000,7686000,70-74 lat,2007-12-31
6,14542000,5453000,75-79 lat,2007-12-31
6,15021000,4357000,80-84 lat,2007-12-31
